2023 Upper tier local authorities Code,2023 Upper tier local authorities,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E06000014,York,4,"Asian, Asian British or Asian Welsh: Pakistani",545
E06000014,York,5,"Asian, Asian British or Asian Welsh: Other Asian",1934
E06000014,York,6,"Black, Black British, Black Welsh, Caribbean or African: African",978
E06000014,York,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",208
E06000014,York,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",139
E06000014,York,9,Mixed or Multiple ethnic groups: White and Asian,1579
E06000014,York,10,Mixed or Multiple ethnic groups: White and Black African,494
E06000014,York,11,Mixed or Multiple ethnic groups: White and Black Caribbean,631
E06000014,York,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1037
E06000014,York,13,"White: English, Welsh, Scottish, Northern Irish or British",176963
E06000014,York,14,White: Irish,1317
E06000014,York,15,White: Gypsy or Irish Traveller,368
E06000014,York,16,White: Roma,222
E06000014,York,17,White: Other White,9297
E06000014,York,18,Other ethnic group: Arab,623
E06000014,York,19,Other ethnic group: Any other ethnic group,1331
E06000015,Derby,-8,Does not apply,0
E06000015,Derby,1,"Asian, Asian British or Asian Welsh: Bangladeshi",827
E06000015,Derby,2,"Asian, Asian British or Asian Welsh: Chinese",1416
E06000015,Derby,3,"Asian, Asian British or Asian Welsh: Indian",12631
E06000015,Derby,4,"Asian, Asian British or Asian Welsh: Pakistani",21034
E06000015,Derby,5,"Asian, Asian British or Asian Welsh: Other Asian",4993
E06000015,Derby,6,"Black, Black British, Black Welsh, Caribbean or African: African",6110
E06000015,Derby,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3056
E06000015,Derby,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1316
E06000015,Derby,9,Mixed or Multiple ethnic groups: White and Asian,2412
E06000015,Derby,10,Mixed or Multiple ethnic groups: White and Black African,924
E06000015,Derby,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4178
E06000015,Derby,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2048
