time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,inpost_fte,inpost_headcount,starters_fte,starters_headcount,leavers_fte,leavers_headcount,turnover_rate_fte,turnover_rate_headcount,agency_fte,agency_headcount,agency_rate_fte,agency_rate_headcount,agency_cover_fte,agency_cover_rate_fte,vacancy_fte,vacancy_rate_fte,vacancy_agency_cover_rate_fte,case_holders_fte,cases,caseload_fte,working_days_lost_fte,absence_rate_fte
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,244.6,262,33.2,34,30.7,33,12.5,12.6,18.8,20,7.1,7.1,18.8,100,53.7,18,35,155.8,2512,16.1,2742.1,4.4
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,313,340,69.1,74,71.6,76,22.9,22.4,144.7,152,31.6,30.9,39.8,27.5,86.8,21.7,45.8,191.7,3201,16.7,2414,3
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,199.6,220,29.6,32,41,43,20.5,19.5,38.1,39,16,15.1,36.6,96.1,56,21.9,65.4,134.7,2061,15.3,2007.5,4
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,354.1,383,58.8,62,41.5,45,11.7,11.7,129,129,26.7,25.2,96.3,74.7,96.3,21.4,100,247.5,3436,13.9,2220.6,2.5
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,0,0,0,0,0,0,z,z,3.5,4,100,100,3.5,100,4,100,88.5,1.5,15,9.7,z,z
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,73.1,76,15.6,16,15.4,16,21.1,21.1,30.5,32,29.4,29.6,30.4,99.7,30.8,29.6,98.7,53.1,798,15,698,3.8
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,162.3,165,37,37,22.2,24,13.6,14.5,39.8,40,19.7,19.5,29,72.9,29,15.2,100,107.2,2259,21.1,1920.7,4.7
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E06000066,Somerset,265.1,288,49.4,51,46.4,51,17.5,17.7,27.8,31,9.5,9.7,27.8,100,38,12.5,73.1,164.3,2465,15,2223,3.3
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,161.1,176,54.8,58,22.9,27,14.2,15.3,32.3,34,16.7,16.2,26,80.6,33,17,78.8,106,1724,16.3,746,1.8
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,149.8,156,41.9,42,26.2,28,17.5,17.9,56,56,27.2,26.4,56,100,56,27.2,100,86.2,1662,19.3,1399,3.7
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,116.7,122,20.4,21,27.7,29,23.8,23.8,23,23,16.5,15.9,8,34.8,15.8,11.9,50.6,81.9,1292,15.8,1493,5.1
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,219.1,236,33.4,38,29.3,42,13.4,17.8,19,19,8,7.5,19,100,38.7,15,49.1,127.9,1774,13.9,1661.5,3
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,172.2,184,28,28,27.8,28,16.1,15.2,28.4,37,14.1,16.7,23.9,84.3,51,22.9,46.9,83.8,1043,12.4,890,2
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,12,12,2,2,2,2,16.7,16.7,2,4,14.3,25,0,0,0,0,z,7,92,13.1,367,12.1
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,177.5,186,24.5,25,25.6,26,14.4,14,72.7,75,29,28.7,72.7,100,80,31.1,90.8,156.3,2292,14.7,1117,2.5
